"kingdom","phylum","class","order","family","genus","species","AphiaID","env","input"
"Animalia","Chordata","Teleostei","Aulopiformes","Synodontidae","Saurida","Saurida brasiliensis",158756,"Marine","Saurida brasiliensis"
"Animalia","Chordata","Teleostei","Aulopiformes","Synodontidae","Synodus","Synodus lucioceps",272132,"Marine","Synodus lucioceps"
"Animalia","Chordata","Teleostei","Aulopiformes","Synodontidae","Synodus","Synodus poeyi",158760,"Marine","Synodus poeyi"
"Animalia","Chordata","Teleostei","Aulopiformes","Synodontidae","Synodus","Synodus synodus",126373,"Marine","Synodus synodus"
"Animalia","Chordata","Teleostei","Aulopiformes","Synodontidae","Trachinocephalus","Trachinocephalus myops",158884,"Marine","Trachinocephalus myops"
"Animalia","Chordata","Teleostei","Batrachoidiformes","Batrachoididae","Opsanus","Opsanus pardus",275648,"Marine","Opsanus pardus"
"Animalia","Chordata","Teleostei","Batrachoidiformes","Batrachoididae","Opsanus","Opsanus tau",158782,"Marine-Brackish","Opsanus tau"
"Animalia","Chordata","Teleostei","Batrachoidiformes","Batrachoididae","Porichthys","Porichthys notatus",275658,"Marine","Porichthys notatus"
"Animalia","Chordata","Teleostei","Beloniformes","Belonidae","Platybelone","Platybelone argalus",126377,"Marine","Platybelone argalus"
"Animalia","Chordata","Teleostei","Beloniformes","Exocoetidae","Cheilopogon","Cheilopogon cyanopterus",217862,"Marine","Cheilopogon cyanopterus"
"Animalia","Chordata","Teleostei","Beloniformes","Exocoetidae","Cheilopogon","Cheilopogon heterurus",126382,"Marine","Cheilopogon heterurus"
"Animalia","Chordata","Teleostei","Beloniformes","Exocoetidae","Exocoetus","Exocoetus obtusirostris",126384,"Marine","Exocoetus obtusirostris"
"Animalia","Chordata","Teleostei","Beloniformes","Exocoetidae","Exocoetus","Exocoetus volitans",126385,"Marine","Exocoetus volitans"
"Animalia","Chordata","Teleostei","Beloniformes","Exocoetidae","Hirundichthys","Hirundichthys speculiger",126387,"Marine","Hirundichthys speculiger"
"Animalia","Chordata","Teleostei","Beloniformes","Exocoetidae","Parexocoetus","Parexocoetus brachypterus",217872,"Marine","Parexocoetus brachypterus"
"Animalia","Chordata","Teleostei","Beloniformes","Exocoetidae","Prognichthys","Prognichthys gibbifrons",277924,"Marine","Prognichthys gibbifrons"
"Animalia","Chordata","Teleostei","Beloniformes","Hemiramphidae","Euleptorhamphus","Euleptorhamphus velox",159276,"Marine","Euleptorhamphus velox"
"Animalia","Chordata","Teleostei","Beloniformes","Hemiramphidae","Hemiramphus","Hemiramphus balao",159278,"Marine-Brackish","Hemiramphus balao"
"Animalia","Chordata","Teleostei","Beloniformes","Hemiramphidae","Hyporhamphus","Hyporhamphus unifasciatus",159281,"Marine-Brackish","Hyporhamphus unifasciatus"
"Animalia","Chordata","Teleostei","Beloniformes","Hemiramphidae","Oxyporhamphus","Oxyporhamphus micropterus",217871,"Marine","Oxyporhamphus micropterus"
"Animalia","Chordata","Teleostei","Beloniformes","Hemiramphidae","Oxyporhamphus","Oxyporhamphus similis",713180,"Marine","Oxyporhamphus similis"
"Animalia","Chordata","Teleostei","Trachichthyiformes","Anoplogastridae","Anoplogaster","Anoplogaster cornuta",126393,"Marine","Anoplogaster cornuta"
"Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx","Beryx decadactylus",126394,"Marine","Beryx decadactylus"
"Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx","Beryx splendens",126395,"Marine","Beryx splendens"
"Animalia","Chordata","Teleostei","Trachichthyiformes","Diretmidae","Diretmus","Diretmus argenteus",126398,"Marine","Diretmus argenteus"
"Animalia","Chordata","Teleostei","Holocentriformes","Holocentridae","Sargocentron","Sargocentron bullisi",272206,"Marine","Sargocentron bullisi"
"Animalia","Chordata","Teleostei","Trachichthyiformes","Trachichthyidae","Gephyroberyx","Gephyroberyx darwinii",126401,"Marine","Gephyroberyx darwinii"
"Animalia","Chordata","Teleostei","Trachichthyiformes","Trachichthyidae","Hoplostethus","Hoplostethus atlanticus",126402,"Marine","Hoplostethus atlanticus"
"Animalia","Chordata","Teleostei","Trachichthyiformes","Trachichthyidae","Hoplostethus","Hoplostethus mediterraneus",126404,"Marine","Hoplostethus mediterraneus"
"Animalia","Chordata","Teleostei","Trachichthyiformes","Trachichthyidae","Hoplostethus","Hoplostethus occidentalis",159415,"Marine","Hoplostethus occidentalis"
"Animalia","Chordata","Teleostei","Beryciformes","Barbourisiidae","Barbourisia","Barbourisia rufa",159425,"Marine","Barbourisia rufa"
"Animalia","Chordata","Teleostei","Beryciformes","Cetomimidae","Cetostoma","Cetostoma regani",126406,"Marine","Cetostoma regani"
"Animalia","Chordata","Teleostei","Beryciformes","Cetomimidae","Gyrinomimus","Gyrinomimus grahami",221398,"Marine","Gyrinomimus grahami"
"Animalia","Chordata","Teleostei","Beryciformes","Rondeletiidae","Rondeletia","Rondeletia loricata",126412,"Marine","Rondeletia loricata"
"Animalia","Chordata","Teleostei","Characiformes","Serrasalmidae","Piaractus","Piaractus brachypomus",1022721,"Freshwater","Piaractus brachypomus"
"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa aestivalis",158667,"Marine-Freshwater-Brackish","Alosa aestivalis"
"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa fallax",126415,"Marine-Freshwater-Brackish","Alosa fallax"
"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa mediocris",158668,"Marine-Freshwater-Brackish","Alosa mediocris"
"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa pseudoharengus",158669,"Marine-Freshwater-Brackish","Alosa pseudoharengus"
"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa sapidissima",158670,"Marine-Freshwater-Brackish","Alosa sapidissima"
