"kingdom","phylum","class","order","family","genus","species","AphiaID","env","input","dist","ocean","source","domain","inCanada"
"Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Ctenogobius","Ctenogobius boleosoma",159750,"Marine-Freshwater-Brackish","Ctenogobius boleosoma",679.786817945028,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Gobiosoma","Gobiosoma bosc",159767,"Marine-Brackish","Gobiosoma bosc",217.305888881866,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lutjanidae","Lutjanus","Lutjanus analis",159792,"Marine-Brackish","Lutjanus analis",277.116986309895,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lutjanidae","Lutjanus","Lutjanus apodus",159793,"Marine-Brackish","Lutjanus apodus",281.313529372995,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lutjanidae","Lutjanus","Lutjanus campechanus",159795,"Marine","Lutjanus campechanus",258.303373374977,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lutjanidae","Lutjanus","Lutjanus griseus",159797,"Marine-Freshwater-Brackish","Lutjanus griseus",256.485078965984,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lutjanidae","Lutjanus","Lutjanus jocu",159798,"Marine-Freshwater-Brackish","Lutjanus jocu",285.272925980965,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lutjanidae","Lutjanus","Lutjanus mahogoni",159799,"Marine","Lutjanus mahogoni",277.430821407893,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lutjanidae","Lutjanus","Lutjanus vivanus",159801,"Marine","Lutjanus vivanus",988.407017070538,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lutjanidae","Ocyurus","Ocyurus chrysurus",159803,"Marine","Ocyurus chrysurus",281.313529372995,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Acropomatiformes","Symphysanodontidae","Symphysanodon","Symphysanodon berryi",159831,"Marine","Symphysanodon berryi",981.436934346035,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Perciformes","Percophidae","Bembrops","Bembrops anatirostris",159842,"Marine","Bembrops anatirostris",398.99311973485,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Perciformes","Percophidae","Bembrops","Bembrops gobioides",159843,"Marine","Bembrops gobioides",357.134742786885,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Carangaria incertae sedis","Polynemidae","Polydactylus","Polydactylus octonemus",159852,"Marine","Polydactylus octonemus",284.55704341402,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Syngnathiformes","Syngnathidae","Hippocampus","Hippocampus trimaculatus",212232,"Marine","Hippocampus trimaculatus",770.352477616375,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Clupeiformes","Dorosomatidae","Amblygaster","Amblygaster leiogaster",217440,"Marine","Amblygaster leiogaster",337.357633445088,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Stomiiformes","Stomiidae","Astronesthes","Astronesthes martensii",217623,"Marine","Astronesthes martensii",520.754728668906,"Atlantic","OBIS extended search","extended search","outside"
"Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Diaphus","Diaphus parri",217695,"Marine","Diaphus parri",931.216954868645,"Pacific","OBIS extended search","extended search","outside"
